"Territorial Unit","Year","Sex","Age","Not Limited"
"France","2004","Men","25-29","0.915"
"France","2004","Men","30-34","0.904"
"France","2004","Men","35-39","0.879"
"France","2004","Men","40-44","0.854"
"France","2004","Men","45-49","0.829"
"France","2004","Men","50-54","0.781"
"France","2004","Men","55-59","0.705"
"France","2004","Men","60-64","0.672"
"France","2004","Men","65-69","0.622"
"France","2004","Men","70-74","0.538"
"France","2004","Men","75-79","0.427"
"France","2004","Men","80-84","0.345"
"France","2004","Men","85+","0.313"
"Greece","2004","Women","16-19","0.935"
"Greece","2004","Women","20-24","0.931"
"Greece","2004","Women","25-29","0.927"
"Greece","2004","Women","30-34","0.924"
"Greece","2004","Women","35-39","0.899"
"Greece","2004","Women","40-44","0.912"
"Greece","2004","Women","45-49","0.846"
"Greece","2004","Women","50-54","0.811"
"Greece","2004","Women","55-59","0.741"
"Greece","2004","Women","60-64","0.714"
"Greece","2004","Women","65-69","0.61"
"Greece","2004","Women","70-74","0.539"
"Greece","2004","Women","75-79","0.468"
"Greece","2004","Women","80-84","0.436"
"Greece","2004","Women","85+","0.331"
"Greece","2004","Men","16-19","0.93"
"Greece","2004","Men","20-24","0.929"
"Greece","2004","Men","25-29","0.905"
"Greece","2004","Men","30-34","0.917"
"Greece","2004","Men","35-39","0.931"
"Greece","2004","Men","40-44","0.866"
"Greece","2004","Men","45-49","0.874"
"Greece","2004","Men","50-54","0.853"
"Greece","2004","Men","55-59","0.785"
"Greece","2004","Men","60-64","0.703"
"Greece","2004","Men","65-69","0.667"
"Greece","2004","Men","70-74","0.631"
"Greece","2004","Men","75-79","0.511"
"Greece","2004","Men","80-84","0.398"
"Greece","2004","Men","85+","0.465"
"Ireland","2004","Women","16-19","0.953"
"Ireland","2004","Women","20-24","0.94"
"Ireland","2004","Women","25-29","0.901"
"Ireland","2004","Women","30-34","0.891"
"Ireland","2004","Women","35-39","0.857"
"Ireland","2004","Women","40-44","0.819"
"Ireland","2004","Women","45-49","0.78"
"Ireland","2004","Women","50-54","0.789"
"Ireland","2004","Women","55-59","0.756"
"Ireland","2004","Women","60-64","0.681"
"Ireland","2004","Women","65-69","0.624"
"Ireland","2004","Women","70-74","0.593"
"Ireland","2004","Women","75-79","0.47"
"Ireland","2004","Women","80-84","0.405"
"Ireland","2004","Women","85+","0.285"
"Ireland","2004","Men","16-19","0.958"
"Ireland","2004","Men","20-24","0.929"
"Ireland","2004","Men","25-29","0.898"
"Ireland","2004","Men","30-34","0.939"
"Ireland","2004","Men","35-39","0.916"
"Ireland","2004","Men","40-44","0.854"
"Ireland","2004","Men","45-49","0.804"
"Ireland","2004","Men","50-54","0.834"
"Ireland","2004","Men","55-59","0.733"
