"Territorial Unit","Year","Sex","Age","Not Limited"
"Belgium","2007","Men","30-34","0.897"
"Belgium","2007","Men","35-39","0.875"
"Belgium","2007","Men","40-44","0.857"
"Belgium","2007","Men","45-49","0.806"
"Belgium","2007","Men","50-54","0.755"
"Belgium","2007","Men","55-59","0.713"
"Belgium","2007","Men","60-64","0.755"
"Belgium","2007","Men","65-69","0.691"
"Belgium","2007","Men","70-74","0.625"
"Belgium","2007","Men","75-79","0.57"
"Belgium","2007","Men","80-84","0.519"
"Belgium","2007","Men","85+","0.419"
"Denmark","2007","Women","16-19","0.947"
"Denmark","2007","Women","20-24","0.888"
"Denmark","2007","Women","25-29","0.864"
"Denmark","2007","Women","30-34","0.881"
"Denmark","2007","Women","35-39","0.874"
"Denmark","2007","Women","40-44","0.841"
"Denmark","2007","Women","45-49","0.8"
"Denmark","2007","Women","50-54","0.721"
"Denmark","2007","Women","55-59","0.695"
"Denmark","2007","Women","60-64","0.736"
"Denmark","2007","Women","65-69","0.792"
"Denmark","2007","Women","70-74","0.743"
"Denmark","2007","Women","75-79","0.688"
"Denmark","2007","Women","80-84","0.714"
"Denmark","2007","Women","85+","0.773"
"Denmark","2007","Men","16-19","0.953"
"Denmark","2007","Men","20-24","0.89"
"Denmark","2007","Men","25-29","0.948"
"Denmark","2007","Men","30-34","0.916"
"Denmark","2007","Men","35-39","0.917"
"Denmark","2007","Men","40-44","0.905"
"Denmark","2007","Men","45-49","0.86"
"Denmark","2007","Men","50-54","0.795"
"Denmark","2007","Men","55-59","0.799"
"Denmark","2007","Men","60-64","0.829"
"Denmark","2007","Men","65-69","0.823"
"Denmark","2007","Men","70-74","0.78"
"Denmark","2007","Men","75-79","0.79"
"Denmark","2007","Men","80-84","0.812"
"Denmark","2007","Men","85+","0.729"
"Finland","2007","Women","16-19","0.797"
"Finland","2007","Women","20-24","0.825"
"Finland","2007","Women","25-29","0.831"
"Finland","2007","Women","30-34","0.821"
"Finland","2007","Women","35-39","0.753"
"Finland","2007","Women","40-44","0.761"
"Finland","2007","Women","45-49","0.76"
"Finland","2007","Women","50-54","0.718"
"Finland","2007","Women","55-59","0.622"
"Finland","2007","Women","60-64","0.577"
"Finland","2007","Women","65-69","0.558"
"Finland","2007","Women","70-74","0.482"
"Finland","2007","Women","75-79","0.366"
"Finland","2007","Women","80-84","0.335"
"Finland","2007","Women","85+","0.296"
"Finland","2007","Men","16-19","0.886"
"Finland","2007","Men","20-24","0.866"
"Finland","2007","Men","25-29","0.837"
"Finland","2007","Men","30-34","0.8"
"Finland","2007","Men","35-39","0.835"
"Finland","2007","Men","40-44","0.734"
"Finland","2007","Men","45-49","0.727"
"Finland","2007","Men","50-54","0.718"
"Finland","2007","Men","55-59","0.612"
"Finland","2007","Men","60-64","0.627"
"Finland","2007","Men","65-69","0.636"
"Finland","2007","Men","70-74","0.568"
"Finland","2007","Men","75-79","0.43"
"Finland","2007","Men","80-84","0.357"
"Finland","2007","Men","85+","0.06"
"France","2007","Women","16-19","0.927"
"France","2007","Women","20-24","0.924"
"France","2007","Women","25-29","0.888"
"France","2007","Women","30-34","0.889"
"France","2007","Women","35-39","0.883"
"France","2007","Women","40-44","0.863"
"France","2007","Women","45-49","0.812"
"France","2007","Women","50-54","0.74"
"France","2007","Women","55-59","0.728"
"France","2007","Women","60-64","0.717"
"France","2007","Women","65-69","0.625"
"France","2007","Women","70-74","0.541"
"France","2007","Women","75-79","0.448"
"France","2007","Women","80-84","0.333"
"France","2007","Women","85+","0.216"
"France","2007","Men","16-19","0.94"
"France","2007","Men","20-24","0.95"
"France","2007","Men","25-29","0.918"
"France","2007","Men","30-34","0.91"
"France","2007","Men","35-39","0.895"
"France","2007","Men","40-44","0.877"
"France","2007","Men","45-49","0.843"
"France","2007","Men","50-54","0.801"
"France","2007","Men","55-59","0.75"
"France","2007","Men","60-64","0.705"
"France","2007","Men","65-69","0.658"
"France","2007","Men","70-74","0.535"
"France","2007","Men","75-79","0.475"
"France","2007","Men","80-84","0.271"
"France","2007","Men","85+","0.342"
"Germany","2007","Women","16-19","0.901"
"Germany","2007","Women","20-24","0.93"
"Germany","2007","Women","25-29","0.857"
"Germany","2007","Women","30-34","0.826"
"Germany","2007","Women","35-39","0.825"
"Germany","2007","Women","40-44","0.752"
"Germany","2007","Women","45-49","0.719"
"Germany","2007","Women","50-54","0.657"
"Germany","2007","Women","55-59","0.582"
"Germany","2007","Women","60-64","0.58"
"Germany","2007","Women","65-69","0.528"
"Germany","2007","Women","70-74","0.41"
"Germany","2007","Women","75-79","0.322"
"Germany","2007","Women","80-84","0.295"
"Germany","2007","Women","85+","0.231"
"Germany","2007","Men","16-19","0.954"
"Germany","2007","Men","20-24","0.925"
"Germany","2007","Men","25-29","0.89"
"Germany","2007","Men","30-34","0.877"
"Germany","2007","Men","35-39","0.844"
"Germany","2007","Men","40-44","0.787"
"Germany","2007","Men","45-49","0.751"
"Germany","2007","Men","50-54","0.683"
"Germany","2007","Men","55-59","0.586"
"Germany","2007","Men","60-64","0.552"
"Germany","2007","Men","65-69","0.579"
"Germany","2007","Men","70-74","0.491"
"Germany","2007","Men","75-79","0.413"
"Germany","2007","Men","80-84","0.339"
"Germany","2007","Men","85+","0.29"
"Greece","2007","Women","16-19","0.973"
"Greece","2007","Women","20-24","0.991"
"Greece","2007","Women","25-29","0.971"
"Greece","2007","Women","30-34","0.948"
"Greece","2007","Women","35-39","0.939"
"Greece","2007","Women","40-44","0.903"
"Greece","2007","Women","45-49","0.883"
"Greece","2007","Women","50-54","0.843"
"Greece","2007","Women","55-59","0.778"
"Greece","2007","Women","60-64","0.719"
"Greece","2007","Women","65-69","0.62"
"Greece","2007","Women","70-74","0.571"
"Greece","2007","Women","75-79","0.451"
"Greece","2007","Women","80-84","0.367"
"Greece","2007","Women","85+","0.306"
"Greece","2007","Men","16-19","0.971"
"Greece","2007","Men","20-24","0.971"
"Greece","2007","Men","25-29","0.952"
"Greece","2007","Men","30-34","0.939"
"Greece","2007","Men","35-39","0.946"
"Greece","2007","Men","40-44","0.949"
"Greece","2007","Men","45-49","0.869"
"Greece","2007","Men","50-54","0.868"
"Greece","2007","Men","55-59","0.8"
"Greece","2007","Men","60-64","0.758"
"Greece","2007","Men","65-69","0.687"
"Greece","2007","Men","70-74","0.617"
"Greece","2007","Men","75-79","0.52"
"Greece","2007","Men","80-84","0.467"
"Greece","2007","Men","85+","0.421"
"Ireland","2007","Women","16-19","0.952"
"Ireland","2007","Women","20-24","0.9"
"Ireland","2007","Women","25-29","0.914"
"Ireland","2007","Women","30-34","0.918"
"Ireland","2007","Women","35-39","0.87"
"Ireland","2007","Women","40-44","0.834"
"Ireland","2007","Women","45-49","0.851"
"Ireland","2007","Women","50-54","0.774"
"Ireland","2007","Women","55-59","0.748"
"Ireland","2007","Women","60-64","0.709"
"Ireland","2007","Women","65-69","0.701"
"Ireland","2007","Women","70-74","0.59"
"Ireland","2007","Women","75-79","0.524"
"Ireland","2007","Women","80-84","0.431"
"Ireland","2007","Women","85+","0.273"
"Ireland","2007","Men","16-19","0.905"
"Ireland","2007","Men","20-24","0.922"
"Ireland","2007","Men","25-29","0.894"
"Ireland","2007","Men","30-34","0.921"
"Ireland","2007","Men","35-39","0.912"
"Ireland","2007","Men","40-44","0.859"
"Ireland","2007","Men","45-49","0.853"
"Ireland","2007","Men","50-54","0.786"
"Ireland","2007","Men","55-59","0.721"
"Ireland","2007","Men","60-64","0.649"
"Ireland","2007","Men","65-69","0.667"
"Ireland","2007","Men","70-74","0.585"
"Ireland","2007","Men","75-79","0.574"
"Ireland","2007","Men","80-84","0.496"
"Ireland","2007","Men","85+","0.353"
"Italy","2007","Women","16-19","0.952"
"Italy","2007","Women","20-24","0.944"
"Italy","2007","Women","25-29","0.93"
"Italy","2007","Women","30-34","0.906"
"Italy","2007","Women","35-39","0.878"
"Italy","2007","Women","40-44","0.831"
"Italy","2007","Women","45-49","0.804"
"Italy","2007","Women","50-54","0.785"
"Italy","2007","Women","55-59","0.676"
"Italy","2007","Women","60-64","0.621"
"Italy","2007","Women","65-69","0.513"
"Italy","2007","Women","70-74","0.445"
"Italy","2007","Women","75-79","0.308"
"Italy","2007","Women","80-84","0.249"
"Italy","2007","Women","85+","0.179"
"Italy","2007","Men","16-19","0.942"
"Italy","2007","Men","20-24","0.954"
"Italy","2007","Men","25-29","0.929"
"Italy","2007","Men","30-34","0.922"
"Italy","2007","Men","35-39","0.898"
"Italy","2007","Men","40-44","0.874"
"Italy","2007","Men","45-49","0.845"
"Italy","2007","Men","50-54","0.816"
"Italy","2007","Men","55-59","0.768"
"Italy","2007","Men","60-64","0.686"
"Italy","2007","Men","65-69","0.614"
"Italy","2007","Men","70-74","0.514"
"Italy","2007","Men","75-79","0.407"
"Italy","2007","Men","80-84","0.324"
"Italy","2007","Men","85+","0.235"
"Luxembourg","2007","Women","16-19","0.955"
"Luxembourg","2007","Women","20-24","0.919"
"Luxembourg","2007","Women","25-29","0.855"
"Luxembourg","2007","Women","30-34","0.926"
"Luxembourg","2007","Women","35-39","0.856"
"Luxembourg","2007","Women","40-44","0.809"
"Luxembourg","2007","Women","45-49","0.807"
"Luxembourg","2007","Women","50-54","0.754"
"Luxembourg","2007","Women","55-59","0.699"
"Luxembourg","2007","Women","60-64","0.652"
"Luxembourg","2007","Women","65-69","0.62"
"Luxembourg","2007","Women","70-74","0.6"
"Luxembourg","2007","Women","75-79","0.42"
"Luxembourg","2007","Women","80-84","0.526"
"Luxembourg","2007","Women","85+","0.429"
"Luxembourg","2007","Men","16-19","0.942"
"Luxembourg","2007","Men","20-24","0.941"
"Luxembourg","2007","Men","25-29","0.894"
"Luxembourg","2007","Men","30-34","0.896"
"Luxembourg","2007","Men","35-39","0.823"
"Luxembourg","2007","Men","40-44","0.836"
"Luxembourg","2007","Men","45-49","0.762"
"Luxembourg","2007","Men","50-54","0.784"
"Luxembourg","2007","Men","55-59","0.713"
"Luxembourg","2007","Men","60-64","0.779"
"Luxembourg","2007","Men","65-69","0.53"
"Luxembourg","2007","Men","70-74","0.583"
"Luxembourg","2007","Men","75-79","0.616"
"Luxembourg","2007","Men","80-84","0.528"
"Luxembourg","2007","Men","85+","0.391"
"Netherlands","2007","Women","16-19","0.888"
"Netherlands","2007","Women","20-24","0.847"
"Netherlands","2007","Women","25-29","0.873"
"Netherlands","2007","Women","30-34","0.862"
"Netherlands","2007","Women","35-39","0.822"
"Netherlands","2007","Women","40-44","0.8"
"Netherlands","2007","Women","45-49","0.78"
"Netherlands","2007","Women","50-54","0.736"
"Netherlands","2007","Women","55-59","0.692"
"Netherlands","2007","Women","60-64","0.689"
"Netherlands","2007","Women","65-69","0.699"
"Netherlands","2007","Women","70-74","0.747"
"Netherlands","2007","Women","75-79","0.471"
"Netherlands","2007","Women","80-84","0.594"
"Netherlands","2007","Women","85+","0.387"
"Netherlands","2007","Men","16-19","0.934"
"Netherlands","2007","Men","20-24","0.914"
"Netherlands","2007","Men","25-29","0.914"
"Netherlands","2007","Men","30-34","0.939"
"Netherlands","2007","Men","35-39","0.885"
"Netherlands","2007","Men","40-44","0.865"
"Netherlands","2007","Men","45-49","0.846"
"Netherlands","2007","Men","50-54","0.823"
"Netherlands","2007","Men","55-59","0.778"
"Netherlands","2007","Men","60-64","0.739"
"Netherlands","2007","Men","65-69","0.749"
"Netherlands","2007","Men","70-74","0.704"
"Netherlands","2007","Men","75-79","0.629"
"Netherlands","2007","Men","80-84","0.628"
"Netherlands","2007","Men","85+","0.458"
"Portugal","2007","Women","16-19","0.957"
"Portugal","2007","Women","20-24","0.905"
"Portugal","2007","Women","25-29","0.943"
"Portugal","2007","Women","30-34","0.885"
"Portugal","2007","Women","35-39","0.864"
"Portugal","2007","Women","40-44","0.816"
"Portugal","2007","Women","45-49","0.767"
"Portugal","2007","Women","50-54","0.633"
"Portugal","2007","Women","55-59","0.535"
"Portugal","2007","Women","60-64","0.506"
"Portugal","2007","Women","65-69","0.385"
"Portugal","2007","Women","70-74","0.258"
"Portugal","2007","Women","75-79","0.229"
"Portugal","2007","Women","80-84","0.214"
"Portugal","2007","Women","85+","0.204"
"Portugal","2007","Men","16-19","0.924"
"Portugal","2007","Men","20-24","0.934"
"Portugal","2007","Men","25-29","0.947"
"Portugal","2007","Men","30-34","0.888"
"Portugal","2007","Men","35-39","0.869"
"Portugal","2007","Men","40-44","0.832"
"Portugal","2007","Men","45-49","0.804"
"Portugal","2007","Men","50-54","0.711"
"Portugal","2007","Men","55-59","0.598"
"Portugal","2007","Men","60-64","0.579"
"Portugal","2007","Men","65-69","0.503"
"Portugal","2007","Men","70-74","0.484"
"Portugal","2007","Men","75-79","0.336"
"Portugal","2007","Men","80-84","0.288"
"Portugal","2007","Men","85+","0.284"
"Spain","2007","Women","16-19","0.927"
"Spain","2007","Women","20-24","0.913"
"Spain","2007","Women","25-29","0.881"
"Spain","2007","Women","30-34","0.852"
"Spain","2007","Women","35-39","0.85"
"Spain","2007","Women","40-44","0.79"
"Spain","2007","Women","45-49","0.789"
"Spain","2007","Women","50-54","0.727"
"Spain","2007","Women","55-59","0.685"
"Spain","2007","Women","60-64","0.642"
"Spain","2007","Women","65-69","0.585"
"Spain","2007","Women","70-74","0.519"
"Spain","2007","Women","75-79","0.431"
"Spain","2007","Women","80-84","0.363"
"Spain","2007","Women","85+","0.342"
"Spain","2007","Men","16-19","0.939"
"Spain","2007","Men","20-24","0.923"
"Spain","2007","Men","25-29","0.897"
"Spain","2007","Men","30-34","0.879"
"Spain","2007","Men","35-39","0.859"
"Spain","2007","Men","40-44","0.839"
"Spain","2007","Men","45-49","0.816"
"Spain","2007","Men","50-54","0.803"
"Spain","2007","Men","55-59","0.734"
"Spain","2007","Men","60-64","0.677"
"Spain","2007","Men","65-69","0.705"
"Spain","2007","Men","70-74","0.638"
"Spain","2007","Men","75-79","0.554"
"Spain","2007","Men","80-84","0.501"
"Spain","2007","Men","85+","0.378"
"Sweden","2007","Women","16-19","0.896"
"Sweden","2007","Women","20-24","0.884"
"Sweden","2007","Women","25-29","0.899"
"Sweden","2007","Women","30-34","0.86"
"Sweden","2007","Women","35-39","0.833"
"Sweden","2007","Women","40-44","0.805"
"Sweden","2007","Women","45-49","0.765"
"Sweden","2007","Women","50-54","0.773"
"Sweden","2007","Women","55-59","0.699"
"Sweden","2007","Women","60-64","0.707"
"Sweden","2007","Women","65-69","0.735"
"Sweden","2007","Women","70-74","0.703"
"Sweden","2007","Women","75-79","0.629"
"Sweden","2007","Women","80-84","0.701"
"Sweden","2007","Women","85+","0.552"
"Sweden","2007","Men","16-19","0.934"
"Sweden","2007","Men","20-24","0.928"
"Sweden","2007","Men","25-29","0.905"
"Sweden","2007","Men","30-34","0.924"
"Sweden","2007","Men","35-39","0.875"
"Sweden","2007","Men","40-44","0.878"
"Sweden","2007","Men","45-49","0.83"
"Sweden","2007","Men","50-54","0.808"
"Sweden","2007","Men","55-59","0.826"
"Sweden","2007","Men","60-64","0.741"
"Sweden","2007","Men","65-69","0.807"
"Sweden","2007","Men","70-74","0.738"
"Sweden","2007","Men","75-79","0.696"
"Sweden","2007","Men","80-84","0.676"
"Sweden","2007","Men","85+","0.614"
"United Kingdom","2007","Women","16-19","0.953"
"United Kingdom","2007","Women","20-24","0.905"
"United Kingdom","2007","Women","25-29","0.896"
"United Kingdom","2007","Women","30-34","0.901"
"United Kingdom","2007","Women","35-39","0.88"
"United Kingdom","2007","Women","40-44","0.851"
"United Kingdom","2007","Women","45-49","0.813"
"United Kingdom","2007","Women","50-54","0.755"
"United Kingdom","2007","Women","55-59","0.721"
"United Kingdom","2007","Women","60-64","0.715"
"United Kingdom","2007","Women","65-69","0.653"
"United Kingdom","2007","Women","70-74","0.641"
"United Kingdom","2007","Women","75-79","0.628"
"United Kingdom","2007","Women","80-84","0.495"
"United Kingdom","2007","Women","85+","0.417"
"United Kingdom","2007","Men","16-19","0.959"
"United Kingdom","2007","Men","20-24","0.951"
"United Kingdom","2007","Men","25-29","0.927"
"United Kingdom","2007","Men","30-34","0.903"
"United Kingdom","2007","Men","35-39","0.882"
"United Kingdom","2007","Men","40-44","0.87"
"United Kingdom","2007","Men","45-49","0.852"
"United Kingdom","2007","Men","50-54","0.778"
"United Kingdom","2007","Men","55-59","0.787"
"United Kingdom","2007","Men","60-64","0.67"
"United Kingdom","2007","Men","65-69","0.642"
"United Kingdom","2007","Men","70-74","0.65"
"United Kingdom","2007","Men","75-79","0.592"
"United Kingdom","2007","Men","80-84","0.545"
"United Kingdom","2007","Men","85+","0.439"
"Austria","2008","Women","16-19","0.911"
"Austria","2008","Women","20-24","0.916"
"Austria","2008","Women","25-29","0.884"
"Austria","2008","Women","30-34","0.893"
"Austria","2008","Women","35-39","0.81"
"Austria","2008","Women","40-44","0.8"
"Austria","2008","Women","45-49","0.76"
"Austria","2008","Women","50-54","0.694"
"Austria","2008","Women","55-59","0.629"
"Austria","2008","Women","60-64","0.599"
"Austria","2008","Women","65-69","0.529"
"Austria","2008","Women","70-74","0.431"
"Austria","2008","Women","75-79","0.33"
"Austria","2008","Women","80-84","0.221"
"Austria","2008","Women","85+","0.189"
"Austria","2008","Men","16-19","0.937"
"Austria","2008","Men","20-24","0.91"
"Austria","2008","Men","25-29","0.89"
"Austria","2008","Men","30-34","0.852"
"Austria","2008","Men","35-39","0.847"
"Austria","2008","Men","40-44","0.828"
"Austria","2008","Men","45-49","0.765"
"Austria","2008","Men","50-54","0.709"
"Austria","2008","Men","55-59","0.554"
"Austria","2008","Men","60-64","0.558"
"Austria","2008","Men","65-69","0.594"
"Austria","2008","Men","70-74","0.48"
"Austria","2008","Men","75-79","0.351"
"Austria","2008","Men","80-84","0.335"
"Austria","2008","Men","85+","0.134"
"Belgium","2008","Women","16-19","0.926"
"Belgium","2008","Women","20-24","0.91"
"Belgium","2008","Women","25-29","0.909"
"Belgium","2008","Women","30-34","0.887"
"Belgium","2008","Women","35-39","0.857"
"Belgium","2008","Women","40-44","0.826"
"Belgium","2008","Women","45-49","0.775"
"Belgium","2008","Women","50-54","0.753"
"Belgium","2008","Women","55-59","0.683"
"Belgium","2008","Women","60-64","0.724"
"Belgium","2008","Women","65-69","0.663"
"Belgium","2008","Women","70-74","0.569"
"Belgium","2008","Women","75-79","0.426"
"Belgium","2008","Women","80-84","0.398"
"Belgium","2008","Women","85+","0.371"
"Belgium","2008","Men","16-19","0.94"
"Belgium","2008","Men","20-24","0.932"
"Belgium","2008","Men","25-29","0.925"
"Belgium","2008","Men","30-34","0.897"
"Belgium","2008","Men","35-39","0.894"
"Belgium","2008","Men","40-44","0.84"
"Belgium","2008","Men","45-49","0.797"
"Belgium","2008","Men","50-54","0.756"
"Belgium","2008","Men","55-59","0.704"
"Belgium","2008","Men","60-64","0.735"
"Belgium","2008","Men","65-69","0.708"
"Belgium","2008","Men","70-74","0.661"
"Belgium","2008","Men","75-79","0.558"
"Belgium","2008","Men","80-84","0.477"
"Belgium","2008","Men","85+","0.454"
"Denmark","2008","Women","16-19","0.803"
"Denmark","2008","Women","20-24","0.799"
"Denmark","2008","Women","25-29","0.755"
"Denmark","2008","Women","30-34","0.799"
"Denmark","2008","Women","35-39","0.782"
"Denmark","2008","Women","40-44","0.777"
"Denmark","2008","Women","45-49","0.777"
"Denmark","2008","Women","50-54","0.706"
"Denmark","2008","Women","55-59","0.639"
"Denmark","2008","Women","60-64","0.599"
"Denmark","2008","Women","65-69","0.758"
"Denmark","2008","Women","70-74","0.715"
"Denmark","2008","Women","75-79","0.616"
"Denmark","2008","Women","80-84","0.514"
"Denmark","2008","Women","85+","0.487"
"Denmark","2008","Men","16-19","0.869"
"Denmark","2008","Men","20-24","0.859"
"Denmark","2008","Men","25-29","0.814"
"Denmark","2008","Men","30-34","0.846"
"Denmark","2008","Men","35-39","0.799"
"Denmark","2008","Men","40-44","0.829"
"Denmark","2008","Men","45-49","0.793"
"Denmark","2008","Men","50-54","0.757"
"Denmark","2008","Men","55-59","0.747"
"Denmark","2008","Men","60-64","0.714"
"Denmark","2008","Men","65-69","0.762"
"Denmark","2008","Men","70-74","0.759"
"Denmark","2008","Men","75-79","0.694"
"Denmark","2008","Men","80-84","0.68"
"Denmark","2008","Men","85+","0.666"
"Finland","2008","Women","16-19","0.882"
"Finland","2008","Women","20-24","0.838"
"Finland","2008","Women","25-29","0.825"
"Finland","2008","Women","30-34","0.818"
"Finland","2008","Women","35-39","0.817"
"Finland","2008","Women","40-44","0.772"
"Finland","2008","Women","45-49","0.749"
"Finland","2008","Women","50-54","0.705"
"Finland","2008","Women","55-59","0.589"
"Finland","2008","Women","60-64","0.619"
"Finland","2008","Women","65-69","0.574"
"Finland","2008","Women","70-74","0.567"
"Finland","2008","Women","75-79","0.409"
"Finland","2008","Women","80-84","0.342"
"Finland","2008","Women","85+","0.15"
"Finland","2008","Men","16-19","0.913"
"Finland","2008","Men","20-24","0.893"
"Finland","2008","Men","25-29","0.899"
"Finland","2008","Men","30-34","0.852"
"Finland","2008","Men","35-39","0.847"
"Finland","2008","Men","40-44","0.826"
"Finland","2008","Men","45-49","0.777"
"Finland","2008","Men","50-54","0.697"
"Finland","2008","Men","55-59","0.578"
"Finland","2008","Men","60-64","0.65"
"Finland","2008","Men","65-69","0.575"
"Finland","2008","Men","70-74","0.572"
"Finland","2008","Men","75-79","0.413"
"Finland","2008","Men","80-84","0.292"
"Finland","2008","Men","85+","0.267"
"France","2008","Women","16-19","0.929"
"France","2008","Women","20-24","0.923"
"France","2008","Women","25-29","0.923"
"France","2008","Women","30-34","0.9"
"France","2008","Women","35-39","0.874"
"France","2008","Women","40-44","0.842"
"France","2008","Women","45-49","0.816"
"France","2008","Women","50-54","0.748"
"France","2008","Women","55-59","0.704"
"France","2008","Women","60-64","0.7"
"France","2008","Women","65-69","0.631"
"France","2008","Women","70-74","0.559"
"France","2008","Women","75-79","0.467"
"France","2008","Women","80-84","0.347"
"France","2008","Women","85+","0.203"
"France","2008","Men","16-19","0.949"
"France","2008","Men","20-24","0.935"
"France","2008","Men","25-29","0.95"
"France","2008","Men","30-34","0.906"
"France","2008","Men","35-39","0.887"
"France","2008","Men","40-44","0.876"
"France","2008","Men","45-49","0.857"
"France","2008","Men","50-54","0.781"
"France","2008","Men","55-59","0.729"
"France","2008","Men","60-64","0.709"
"France","2008","Men","65-69","0.643"
"France","2008","Men","70-74","0.573"
"France","2008","Men","75-79","0.429"
"France","2008","Men","80-84","0.32"
"France","2008","Men","85+","0.234"
"Germany","2008","Women","16-19","0.912"
"Germany","2008","Women","20-24","0.898"
"Germany","2008","Women","25-29","0.877"
"Germany","2008","Women","30-34","0.839"
"Germany","2008","Women","35-39","0.817"
"Germany","2008","Women","40-44","0.784"
"Germany","2008","Women","45-49","0.721"
"Germany","2008","Women","50-54","0.652"
"Germany","2008","Women","55-59","0.561"
"Germany","2008","Women","60-64","0.536"
"Germany","2008","Women","65-69","0.489"
"Germany","2008","Women","70-74","0.395"
"Germany","2008","Women","75-79","0.271"
"Germany","2008","Women","80-84","0.238"
"Germany","2008","Women","85+","0.154"
"Germany","2008","Men","16-19","0.929"
"Germany","2008","Men","20-24","0.907"
"Germany","2008","Men","25-29","0.878"
"Germany","2008","Men","30-34","0.837"
"Germany","2008","Men","35-39","0.809"
"Germany","2008","Men","40-44","0.792"
"Germany","2008","Men","45-49","0.719"
"Germany","2008","Men","50-54","0.653"
"Germany","2008","Men","55-59","0.581"
"Germany","2008","Men","60-64","0.478"
"Germany","2008","Men","65-69","0.515"
"Germany","2008","Men","70-74","0.432"
"Germany","2008","Men","75-79","0.294"
"Germany","2008","Men","80-84","0.216"
"Germany","2008","Men","85+","0.185"
"Greece","2008","Women","16-19","0.985"
"Greece","2008","Women","20-24","0.99"
"Greece","2008","Women","25-29","0.977"
"Greece","2008","Women","30-34","0.968"
"Greece","2008","Women","35-39","0.934"
"Greece","2008","Women","40-44","0.886"
"Greece","2008","Women","45-49","0.879"
"Greece","2008","Women","50-54","0.832"
"Greece","2008","Women","55-59","0.76"
"Greece","2008","Women","60-64","0.652"
"Greece","2008","Women","65-69","0.552"
"Greece","2008","Women","70-74","0.51"
"Greece","2008","Women","75-79","0.403"
"Greece","2008","Women","80-84","0.289"
"Greece","2008","Women","85+","0.203"
"Greece","2008","Men","16-19","0.983"
"Greece","2008","Men","20-24","0.977"
"Greece","2008","Men","25-29","0.967"
"Greece","2008","Men","30-34","0.926"
"Greece","2008","Men","35-39","0.942"
"Greece","2008","Men","40-44","0.933"
"Greece","2008","Men","45-49","0.912"
"Greece","2008","Men","50-54","0.875"
"Greece","2008","Men","55-59","0.793"
"Greece","2008","Men","60-64","0.717"
"Greece","2008","Men","65-69","0.664"
"Greece","2008","Men","70-74","0.581"
"Greece","2008","Men","75-79","0.448"
"Greece","2008","Men","80-84","0.394"
"Greece","2008","Men","85+","0.284"
"Ireland","2008","Women","16-19","0.964"
"Ireland","2008","Women","20-24","0.896"
"Ireland","2008","Women","25-29","0.911"
"Ireland","2008","Women","30-34","0.896"
"Ireland","2008","Women","35-39","0.86"
"Ireland","2008","Women","40-44","0.871"
"Ireland","2008","Women","45-49","0.847"
"Ireland","2008","Women","50-54","0.776"
"Ireland","2008","Women","55-59","0.685"
"Ireland","2008","Women","60-64","0.667"
"Ireland","2008","Women","65-69","0.686"
"Ireland","2008","Women","70-74","0.59"
"Ireland","2008","Women","75-79","0.486"
"Ireland","2008","Women","80-84","0.407"
"Ireland","2008","Women","85+","0.261"
"Ireland","2008","Men","16-19","0.953"
"Ireland","2008","Men","20-24","0.886"
"Ireland","2008","Men","25-29","0.926"
"Ireland","2008","Men","30-34","0.9"
"Ireland","2008","Men","35-39","0.886"
"Ireland","2008","Men","40-44","0.872"
"Ireland","2008","Men","45-49","0.906"
"Ireland","2008","Men","50-54","0.763"
"Ireland","2008","Men","55-59","0.698"
"Ireland","2008","Men","60-64","0.65"
"Ireland","2008","Men","65-69","0.663"
"Ireland","2008","Men","70-74","0.572"
"Ireland","2008","Men","75-79","0.529"
"Ireland","2008","Men","80-84","0.523"
"Ireland","2008","Men","85+","0.289"
"Italy","2008","Women","16-19","0.943"
"Italy","2008","Women","20-24","0.93"
"Italy","2008","Women","25-29","0.928"
"Italy","2008","Women","30-34","0.902"
"Italy","2008","Women","35-39","0.876"
"Italy","2008","Women","40-44","0.861"
"Italy","2008","Women","45-49","0.803"
"Italy","2008","Women","50-54","0.747"
"Italy","2008","Women","55-59","0.688"
"Italy","2008","Women","60-64","0.593"
"Italy","2008","Women","65-69","0.516"
"Italy","2008","Women","70-74","0.428"
"Italy","2008","Women","75-79","0.267"
"Italy","2008","Women","80-84","0.215"
"Italy","2008","Women","85+","0.153"
"Italy","2008","Men","16-19","0.966"
"Italy","2008","Men","20-24","0.936"
"Italy","2008","Men","25-29","0.922"
"Italy","2008","Men","30-34","0.903"
"Italy","2008","Men","35-39","0.898"
"Italy","2008","Men","40-44","0.874"
"Italy","2008","Men","45-49","0.841"
"Italy","2008","Men","50-54","0.815"
"Italy","2008","Men","55-59","0.741"
"Italy","2008","Men","60-64","0.689"
"Italy","2008","Men","65-69","0.599"
"Italy","2008","Men","70-74","0.488"
"Italy","2008","Men","75-79","0.382"
"Italy","2008","Men","80-84","0.258"
"Italy","2008","Men","85+","0.196"
"Luxembourg","2008","Women","16-19","0.856"
"Luxembourg","2008","Women","20-24","0.93"
"Luxembourg","2008","Women","25-29","0.875"
"Luxembourg","2008","Women","30-34","0.845"
"Luxembourg","2008","Women","35-39","0.873"
"Luxembourg","2008","Women","40-44","0.837"
"Luxembourg","2008","Women","45-49","0.825"
"Luxembourg","2008","Women","50-54","0.767"
"Luxembourg","2008","Women","55-59","0.669"
"Luxembourg","2008","Women","60-64","0.624"
